Feature,Model,Accuracy,ErrorRate,Pos_Precision,Neg_Precision,Pos_Recall,Neg_Recall,Pos_F1,Neg_F1,Weighted_F1
tfidf_word_2gram,NaiveBayes,0.6583333333333333,0.3416666666666667,0.7777777777777778,0.6,0.875,0.75,0.8235294117647058,0.6666666666666666,0.6376010476165275
tfidf_word_3gram,NaiveBayes,0.4041666666666667,0.5958333333333333,0.5454545454545454,0.4166666666666667,0.75,0.625,0.631578947368421,0.5,0.3839006856626321
tfidf_word_1gram,NaiveBayes,0.8416666666666667,0.15833333333333333,0.7,0.7777777777777778,0.875,0.875,0.7777777777777778,0.8235294117647058,0.8375891821170459
tfidf_word_3gram,SVM,0.14166666666666666,0.8583333333333334,0.8,0.3333333333333333,0.5,0.125,0.6153846153846154,0.18181818181818182,0.16034123940817654
tfidf_word_2gram,DecisionTree,0.1875,0.8125,0.2857142857142857,0.2,0.25,0.125,0.26666666666666666,0.15384615384615385,0.1714475611534435
tfidf_word_3gram,DecisionTree,0.175,0.825,0.6,0.0,0.375,0.0,0.46153846153846156,0.0,0.17050316704572024
tfidf_char_2gram,NaiveBayes,0.875,0.125,0.6666666666666666,0.6153846153846154,1.0,1.0,0.8,0.7619047619047619,0.8717098521819884
tfidf_word_2gram,SVM,0.4791666666666667,0.5208333333333333,0.8,1.0,0.5,0.5,0.6153846153846154,0.6666666666666666,0.5124394471210328
tfidf_word_1gram,DecisionTree,0.3125,0.6875,0.4,0.18181818181818182,0.25,0.25,0.3076923076923077,0.21052631578947367,0.3214745483449212
tfidf_char_2gram,DecisionTree,0.5583333333333333,0.44166666666666665,0.7142857142857143,0.625,0.625,0.625,0.6666666666666666,0.625,0.5553228904924962
tfidf_word_2gram,RandomForest,0.42083333333333334,0.5791666666666666,0.4444444444444444,1.0,0.5,0.5,0.47058823529411764,0.6666666666666666,0.43916673689303287
tfidf_word_3gram,RandomForest,0.19583333333333333,0.8041666666666667,0.5,0.2,0.375,0.125,0.42857142857142855,0.15384615384615385,0.20931523241120764
tfidf_word_1gram,RandomForest,0.6208333333333333,0.37916666666666665,0.5,0.5384615384615384,0.5,0.875,0.5,0.6666666666666666,0.6186977536529966
tfidf_char_2gram,RandomForest,0.7083333333333334,0.29166666666666663,0.7142857142857143,0.4117647058823529,0.625,0.875,0.6666666666666666,0.56,0.6978662252779901
tfidf_char_3gram,NaiveBayes,0.9333333333333333,0.06666666666666665,0.8,0.8,1.0,1.0,0.8888888888888888,0.8888888888888888,0.9317782641621651
tfidf_word_2gram,MLP,0.5875,0.4125,0.8333333333333334,0.5555555555555556,0.625,0.625,0.7142857142857143,0.5882352941176471,0.5873459286384983
tfidf_word_3gram,MLP,0.4,0.6,0.45454545454545453,0.625,0.625,0.625,0.5263157894736842,0.625,0.38939382821204066
tfidf_word_1gram,SVM,0.8416666666666667,0.15833333333333333,1.0,1.0,0.875,0.875,0.9333333333333333,0.9333333333333333,0.8420625570393373
tfidf_char_2gram,SVM,0.8166666666666667,0.18333333333333335,0.5714285714285714,0.6363636363636364,0.5,0.875,0.5333333333333333,0.7368421052631579,0.8172734185892081
tfidf_word_1gram,MLP,0.75,0.25,0.7142857142857143,0.7272727272727273,0.625,1.0,0.6666666666666666,0.8421052631578947,0.7558937407621619
bert,SVM,0.7958333333333333,0.20416666666666672,0.5714285714285714,0.8,1.0,1.0,0.7272727272727273,0.8888888888888888,0.7958347030792852
tfidf_char_2gram,MLP,0.8541666666666666,0.14583333333333337,0.7777777777777778,0.6666666666666666,0.875,1.0,0.8235294117647058,0.8,0.8505974526562762
bert,DecisionTree,0.175,0.825,0.2857142857142857,0.42857142857142855,0.25,0.375,0.26666666666666666,0.4,0.170575200513281
tfidf_char_3gram,DecisionTree,0.49166666666666664,0.5083333333333333,0.5,0.4,0.25,0.5,0.3333333333333333,0.4444444444444444,0.4811336756924992
tfidf_char_3gram,RandomForest,0.7708333333333334,0.22916666666666663,0.5,0.7142857142857143,0.625,0.625,0.5555555555555556,0.6666666666666666,0.7627252992965068
bert,RandomForest,0.6125,0.38749999999999996,0.4166666666666667,0.5555555555555556,0.625,0.625,0.5,0.5882352941176471,0.600782263316319
tfidf_char_3gram,MLP,0.7916666666666666,0.20833333333333337,0.5384615384615384,0.7272727272727273,0.875,1.0,0.6666666666666666,0.8421052631578947,0.7869778570242967
bert,MLP,0.7791666666666667,0.22083333333333333,0.5,0.8333333333333334,0.875,0.625,0.6363636363636364,0.7142857142857143,0.7774913625532821
tfidf_word_3gram,XGBoost,0.125,0.875,0.3333333333333333,0.0,0.375,0.0,0.35294117647058826,0.0,0.10957072891664639
tfidf_char_3gram,SVM,0.8416666666666667,0.15833333333333333,0.7777777777777778,0.6363636363636364,0.875,0.875,0.8235294117647058,0.7368421052631579,0.8431204047070922
tfidf_word_2gram,XGBoost,0.31666666666666665,0.6833333333333333,0.3333333333333333,0.5,0.375,0.125,0.35294117647058826,0.2,0.31552549177135497
tfidf_char_2gram,XGBoost,0.7625,0.23750000000000004,0.5833333333333334,0.5555555555555556,0.875,0.625,0.7,0.5882352941176471,0.7525329137093845
bert,XGBoost,0.6125,0.38749999999999996,0.3333333333333333,0.8,0.5,0.5,0.4,0.6153846153846154,0.6125061302073685
tfidf_word_1gram,XGBoost,0.5791666666666667,0.4208333333333333,0.3333333333333333,0.4166666666666667,0.25,0.625,0.2857142857142857,0.5,0.5706293511556669
tfidf_char_3gram,XGBoost,0.7875,0.21250000000000002,0.6666666666666666,0.6,0.75,0.75,0.7058823529411765,0.6666666666666666,0.7750854852635037
